Part, Rownumber, Seat, Word, Error
36, 28, 0, drive, 
36, 29, 1, dive, 
36, 30, 2, weave, 
36, 31, 3, heave, 
36, 32, 4, thrive, true
36, 33, 0, smell, 
36, 34, 1, spoil, 
36, 35, 2, spill, 
36, 36, 3, spell, 
36, 37, 4, learn, true
36, 38, 0, bust, 
36, 39, 1, cost, 
36, 40, 2, spit, 
36, 41, 3, knit, 
36, 42, 4, wet, false
36, 43, 0, plead, 
36, 44, 1, kneel, 
36, 45, 2, dream, 
36, 46, 3, leap, 
36, 47, 4, lean, false
36, 48, 0, shrink, 
36, 49, 1, spring, 
36, 50, 2, sink, 
36, 51, 3, sing, 
36, 52, 4, ring, false
36, 53, 0, heave, 
36, 54, 1, dive, 
36, 55, 2, drive, 
36, 56, 3, thrive, 
36, 57, 4, weave, false
36, 58, 0, spill, 
36, 59, 1, smell, 
36, 60, 2, learn, 
36, 61, 3, spoil, 
36, 62, 4, spell, false
36, 63, 0, cost, 
36, 64, 1, spit, 
36, 65, 2, wet, 
36, 66, 3, knit, 
36, 67, 4, bust, true
36, 68, 0, kneel, 
36, 69, 1, leap, 
36, 70, 2, plead, 
36, 71, 3, lean, 
36, 72, 4, dream, true
36, 73, 0, ring, 
36, 74, 1, sink, 
36, 75, 2, shrink, 
36, 76, 3, sing, 
36, 77, 4, spring, false
36, 78, 0, heave, 
36, 79, 1, weave, 
36, 80, 2, dive, 
36, 81, 3, thrive, 
36, 82, 4, drive, false
36, 83, 0, learn, 
36, 84, 1, smell, 
36, 85, 2, spill, 
36, 86, 3, spell, 
36, 87, 4, spoil, true
36, 88, 0, cost, 
36, 89, 1, wet, 
36, 90, 2, knit, 
36, 91, 3, bust, 
36, 92, 4, spit, false
36, 93, 0, dream, 
36, 94, 1, plead, 
36, 95, 2, lean, 
36, 96, 3, kneel, 
36, 97, 4, leap, false
36, 98, 0, sink, 
36, 99, 1, ring, 
36, 100, 2, sing, 
36, 101, 3, spring, 
36, 102, 4, shrink, false
36, 103, 0, take, 
36, 104, 1, find, 
36, 105, 2, say, 
36, 106, 3, hear, 
36, 107, 4, stand, false
36, 108, 0, come, 
36, 109, 1, know, 
36, 110, 2, feel, 
36, 111, 3, sit, 
36, 112, 4, keep, false
36, 113, 0, leave, 
36, 114, 1, make, 
36, 115, 2, think, 
36, 116, 3, bring, 
36, 117, 4, lose, false
36, 118, 0, hold, 
36, 119, 1, see, 
36, 120, 2, get, 
36, 121, 3, give, 
36, 122, 4, write, false
36, 123, 0, go, 
36, 124, 1, tell, 
36, 125, 2, put, 
36, 126, 3, hit, 
36, 127, 4, read, false
36, 128, 0, say, 
36, 129, 1, find, 
36, 130, 2, stand, 
36, 131, 3, take, 
36, 132, 4, hear, false
36, 133, 0, come, 
36, 134, 1, keep, 
36, 135, 2, feel, 
36, 136, 3, know, 
36, 137, 4, sit, false
36, 138, 0, lose, 
36, 139, 1, make, 
36, 140, 2, leave, 
36, 141, 3, think, 
36, 142, 4, bring, false
36, 143, 0, get, 
36, 144, 1, see, 
36, 145, 2, give, 
36, 146, 3, write, 
36, 147, 4, hold, false
36, 148, 0, tell, 
36, 149, 1, go, 
36, 150, 2, read, 
36, 151, 3, put, 
36, 152, 4, hit, false
36, 153, 0, stand, 
36, 154, 1, say, 
36, 155, 2, hear, 
36, 156, 3, take, 
36, 157, 4, find, false
36, 158, 0, sit, 
36, 159, 1, keep, 
36, 160, 2, come, 
36, 161, 3, know, 
36, 162, 4, feel, false
36, 163, 0, lose, 
36, 164, 1, think, 
36, 165, 2, make, 
36, 166, 3, bring, 
36, 167, 4, leave, false
36, 168, 0, hold, 
36, 169, 1, write, 
36, 170, 2, get, 
36, 171, 3, see, 
36, 172, 4, give, false
36, 173, 0, tell, 
36, 174, 1, read, 
36, 175, 2, hit, 
36, 176, 3, go, 
36, 177, 4, put, false
