Nr, C, P, Nr, C, P,
32, C, ,207, ed, ,
37, A, ,212, ed, ,
42, B, ,217, ed, ,
47, B, ,222, ed, ,
52, C, ,227, ed, ,
57, C, ,232, ed, ,
62, A, ,237, ed, ,
67, A, ,242, ed, ,
72, A, ,247, ed, ,
77, C, ,252, ed, ,
82, B, ,257, ed, ,
87, B, ,262, ed, ,
92, C, ,267, ed, ,
97, C, ,272, ed, ,
102, C, ,277, ed, ,
107, B, ,282, ed, ,
112, A, ,287, ed, ,
117, C, ,292, ed, ,
122, C, ,297, ed, ,
127, A, ,302, ed, ,
132, A, ,307, ed, ,
137, A, ,312, ed, ,
142, A, ,317, ed, ,
147, C, ,322, ed, ,
152, C, ,327, ed, ,
157, C, ,332, ed, ,
162, B, ,337, ed, ,
167, C, ,342, ed, ,
172, A, ,347, ed, ,
177, C, ,352, ed, ,

