Nr, C, P, Nr, C, P,
31, B, ,204, ed, ,
36, A, ,209, ed, ,
41, C, ,214, ed, ,
46, C, ,219, ed, ,
51, C, ,224, ed, ,
56, B, ,229, ed, ,
61, C, ,234, ed, ,
66, B, ,239, ed, ,
71, C, ,244, ed, ,
76, C, ,249, ed, ,
81, C, ,254, ed, ,
86, A, ,259, ed, ,
91, B, ,264, ed, ,
96, A, ,269, ed, ,
101, A, ,274, ed, ,
106, B, ,279, ed, ,
111, A, ,284, ed, ,
116, C, ,289, ed, ,
121, A, ,294, ed, ,
126, A, ,299, ed, ,
131, A, ,304, ed, ,
136, C, ,309, ed, ,
141, A, ,314, ed, ,
146, C, ,319, ed, ,
151, B, ,324, ed, ,
156, C, ,329, ed, ,
161, C, ,334, ed, ,
166, C, ,339, ed, ,
171, A, ,344, ed, ,
176, C, ,349, ed, ,
