Nr, C, P, Nr, C, P,
31, B, ,204, ed, ,
36, B, ,209, ed, ,
41, A, ,214, ed, ,
46, C, ,219, ed, ,
51, C, ,224, ed, ,
56, C, ,229, ed, ,
61, A, ,234, ed, ,
66, B, ,239, ed, ,
71, C, ,244, ed, ,
76, A, ,249, ed, ,
81, B, ,254, ed, ,
86, C, ,259, ed, ,
91, C, ,264, ed, ,
96, A, ,269, ed, ,
101, C, ,274, ed, ,
106, C, ,279, ed, ,
111, A, ,284, ed, ,
116, B, ,289, ed, ,
121, A, ,294, ed, ,
126, C, ,299, ed, ,
131, C, ,304, ed, ,
136, C, ,309, ed, ,
141, A, ,314, ed, ,
146, C, ,319, ed, ,
151, C, ,324, ed, ,
156, C, ,329, ed, ,
161, A, ,334, ed, ,
166, A, ,339, ed, ,
171, A, ,344, ed, ,
176, B, ,349, ed, ,
