Nr, C, P, Nr, C, P,
32, B, ,207, ed, ,
37, A, ,212, ed, ,
42, C, ,217, ed, ,
47, C, ,222, ed, ,
52, C, ,227, ed, ,
57, C, ,232, ed, ,
62, B, ,237, ed, ,
67, C, ,242, ed, ,
72, B, ,247, ed, ,
77, A, ,252, ed, ,
82, C, ,257, ed, ,
87, B, ,262, ed, ,
92, C, ,267, ed, ,
97, A, ,272, ed, ,
102, A, ,277, ed, ,
107, B, ,282, ed, ,
112, C, ,287, ed, ,
117, C, ,292, ed, ,
122, A, ,297, ed, ,
127, A, ,302, ed, ,
132, C, ,307, ed, ,
137, C, ,312, ed, ,
142, A, ,317, ed, ,
147, C, ,322, ed, ,
152, A, ,327, ed, ,
157, A, ,332, ed, ,
162, C, ,337, ed, ,
167, C, ,342, ed, ,
172, B, ,347, ed, ,
177, A, ,352, ed, ,

